"","ensembl_gene_id","external_gene_id","affy_chicken","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSGALG00000000003","PANX2","GgaAffx.23849.1.S1_at",144.393220995189,-2.03049303334787,0.313082523725286,-6.48548826420449,8.84448845717018e-11,2.17574416046387e-08
"2","ENSGALG00000000003","PANX2","Gga.14853.1.S1_at",144.393220995189,-2.03049303334787,0.313082523725286,-6.48548826420449,8.84448845717018e-11,2.17574416046387e-08
"3","ENSGALG00000000004","RFK","Gga.19197.1.S1_s_at",360.047660819572,-0.824624552849038,0.320883597478701,-2.56985573375646,0.0101740874349082,0.0615339248601929
"4","ENSGALG00000000004","RFK","GgaAffx.11465.1.S1_at",360.047660819572,-0.824624552849038,0.320883597478701,-2.56985573375646,0.0101740874349082,0.0615339248601929
"5","ENSGALG00000000011","C10orf88","GgaAffx.17.1.S1_at",111.312231241537,-0.193673831840787,0.357015363336994,-0.542480385243181,0.587487616278508,0.762648831686084
"6","ENSGALG00000000013","DUSP11","Gga.9124.1.S1_at",57.7627739217706,0.940051769058461,0.393510273273894,2.38888749012191,0.0168994767632234,0.0859357500167339
"7","ENSGALG00000000017","","GgaAffx.27.1.S1_at",1.68044475305647,-0.217910379200215,0.513057519656285,-0.424728945296817,0.671034280590719,NA
"8","ENSGALG00000000019","AAK1","GgaAffx.30.1.S1_at",26.5509894319409,0.259100186931902,0.395391321096982,0.655300642950504,0.512274206934193,0.707628775105874
"9","ENSGALG00000000019","AAK1","GgaAffx.30.2.S1_s_at",26.5509894319409,0.259100186931902,0.395391321096982,0.655300642950504,0.512274206934193,0.707628775105874
"10","ENSGALG00000000033","NFU1","Gga.12168.1.S1_s_at",163.513245196241,0.889213247168529,0.275837630545066,3.22368360477651,0.00126553140976822,0.0138766990629236
"11","ENSGALG00000000033","NFU1","GgaAffx.13222.1.S1_at",163.513245196241,0.889213247168529,0.275837630545066,3.22368360477651,0.00126553140976822,0.0138766990629236
"12","ENSGALG00000000040","FAM195A","Gga.8178.1.S1_at",0.418573653671723,-0.0597830307059138,0.346365337471235,-0.172601078220995,0.862965004321201,NA
"13","ENSGALG00000000040","FAM195A","Gga.15226.1.S1_s_at",0.418573653671723,-0.0597830307059138,0.346365337471235,-0.172601078220995,0.862965004321201,NA
"14","ENSGALG00000000041","GNAI3","Gga.1134.1.S1_at",1225.8448650957,0.515003387536802,0.215810662094462,2.38636674638151,0.0170157726319162,0.0863068055144614
"15","ENSGALG00000000041","GNAI3","Gga.1134.1.S2_at",1225.8448650957,0.515003387536802,0.215810662094462,2.38636674638151,0.0170157726319162,0.0863068055144614
"16","ENSGALG00000000043","USF1","GgaAffx.250.2.S1_at",1.9218461068644,0.547650012197317,0.552320030856039,0.991544723352719,0.321419665388366,NA
